country_name,country_code_kaggle,country_code_iso
AIN,AIN,NA
Algeria,ALG,DZA
Botswana,BOT,BWA
Bulgaria,BUL,BGR
Chinese Taipei,TPE,TWN
Croatia,CRO,HRV
Denmark,DEN,DNK
EOR,EOR,NA
Fiji,FIJ,FJI
Germany,GER,DEU
Greece,GRE,GRC
Greenland,GRN,GRL
Guam,GUA,GUM
IR Iran,IRI,IRN
Indonesia,INA,IDN
Kosovo,KOS,XKX
Malaysia,MAS,MYS
Mongolia,MGL,MNG
Netherlands,NED,NLD
Philippines,PHI,PHL
Portugal,POR,PRT
Puerto Rico,PUR,PRI
Slovenia,SLO,SVN
South Africa,RSA,ZAF
Switzerland,SUI,CHE
Zambia,ZAM,ZMB
