season,episode,title,aired_date,synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday
14,3,The Pickleorette,"Sun, Oct 22, 2023",Bob and Linda help Gretchen throw her sister's bachelorette party; Tina forces Gene and Louise to play a board game they find on the street.,7.3,616,"https://m.media-amazon.com/images/M/MV5BYzkyMDM4YWMtOWZlNC00MDE3LWJmNjItNWZiZWM4M2IzNzk3XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt29379938/?ref_=ttep_ep_3,FALSE
14,4,Running Down a Gene,"Sun, Oct 29, 2023",Gene tries to lucid dream so he can remember the perfect song he wrote in his sleep; Louise and Tina try to catch a cricket that's keeping Linda up at night with its chirping.,7.1,582,"https://m.media-amazon.com/images/M/MV5BNWFiZDlhNTMtYzE1Mi00ZDc3LTg2NTUtMmUxOWM0NWNjNjhmXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt29379944/?ref_=ttep_ep_4,FALSE
14,5,Bully-ieve It or Not,"Sun, Nov 5, 2023","The Belcher kids uncover a secret about Zeke's past, while Bob rekindles his feud with Jimmy Pesto.",7.3,608,"https://m.media-amazon.com/images/M/MV5BMGY2NGVkMGUtYzMwNi00YTE1LThjNGQtYjNiZTA5YTEyMDlkXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt29387714/?ref_=ttep_ep_5,FALSE
14,6,Escape from Which Island?,"Sun, Nov 12, 2023","Mr. Fischoeder enlists Bob to be his personal chef for a glamping trip on his exclusive club's secret island. Meanwhile, Linda gives the kids a crash-course on cocktail party etiquette.",7.5,615,"https://m.media-amazon.com/images/M/MV5BOWNlMzBjYTYtMWNmNy00ZWM3LThiNTUtNWZkYjYyZTQwOWJlXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt29622450/?ref_=ttep_ep_6,FALSE
14,7,The (Raccoon) King and I,"Sun, Nov 19, 2023",Linda makes a mistake during a neighborhood block party that could endanger the life of her favorite alley raccoon.,7.1,562,"https://m.media-amazon.com/images/M/MV5BNGIwMmJkZGUtM2EzNi00YjcxLTkxNDEtNmY3NjAxZGQ4MmRjXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,500,281_.jpg",https://www.imdb.com/title/tt29732135/?ref_=ttep_ep_7,FALSE
14,8,"Wharf, Me Worry?","Sun, Nov 26, 2023","The Belcher kids spend a special day with Big Bob at the Wharf, where they get into trouble with its new fortune-telling giant clam.",7.2,533,"https://m.media-amazon.com/images/M/MV5BMmE2YWQ2MDAtZmMwNi00MDk0LWI0NmItOWVmYmRjNWY2MGQ3XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt29865867/?ref_=ttep_ep_8,FALSE
14,9,Fraud of the Dead: Zombie-Docu-Pocalypse,"Sun, Dec 3, 2023",A documentary film profiling Louise as a world-class archer is interrupted by unexpected visitors.,8,697,"https://m.media-amazon.com/images/M/MV5BOWRhN2ZhYzEtNjRlZi00MjI3LWI4OTgtZjg0ZjA3YTlkZDNhXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,500,281_.jpg",https://www.imdb.com/title/tt30028400/?ref_=ttep_ep_9,FALSE
14,10,The Nightmare 2 Days Before Christmas,"Sun, Dec 17, 2023",The Belchers are forced to spend Christmas at Mr. Fischoeder's old hunting lodge when the power goes out two days before the holiday.,7.7,581,"https://m.media-amazon.com/images/M/MV5BY2Y5NjFmOGUtZmM5OC00MmUyLWI1ZGEtMWQyYmZiY2RhMGUxXkEyXkFqcGc@._V1_QL75_UY281_CR8,0,500,281_.jpg",https://www.imdb.com/title/tt29804427/?ref_=ttep_ep_10,TRUE
14,11,Mission Impossi-Bob,"Sun, Jan 7, 2024",Teddy gets stuck in an underground survival bunker and calls on Bob to get him out.,7.5,560,"https://m.media-amazon.com/images/M/MV5BMWE5OWMwN2ItYTIwZS00MjI2LTgzZjItMWI0MWFjZmI5ZGJiXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt30129655/?ref_=ttep_ep_11,FALSE
14,12,Jade in the Shade,"Sun, Mar 10, 2024","Linda and Louise stumble into a treasure-hunting adventure on a tour of the town's bootlegging history; Bob, Tina and Gene play host to a group of street performers looking to settle a beef.",7.8,485,"https://m.media-amazon.com/images/M/MV5BYjVmZmFkZDctNGE2MC00OWM0LTk3NjItMTAzMDVmYjY4ZGYzXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,500,281_.jpg",https://www.imdb.com/title/tt31450468/?ref_=ttep_ep_12,FALSE
14,13,Butt Sweat and Fears,"Sun, May 19, 2024","Tina gets her skirt stuck in the dryer when she tries to dry off her butt sweat at Chelsea's party, where she anticipates upper butt action; Teddy tries to join the Belchers' competition of building objects from the basement trash.",7.6,484,"https://m.media-amazon.com/images/M/MV5BZDA2OTYxMmMtZTc2NC00NDI1LWJjOGItZTNmMjllNzY3OWVmXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,500,281_.jpg",https://www.imdb.com/title/tt32143987/?ref_=ttep_ep_13,FALSE
14,14,The Big Stieblitzki,"Sun, Sep 8, 2024",The Belchers get invited to Rudy's father's birthday party and try to make him look better than Rudy's Mom's new boyfriend; Tina attempts to convince a woman to commit to a relationship with Rudy's father.,7.6,421,"https://m.media-amazon.com/images/M/MV5BOGZmMmFkOTAtMTNlOS00MjQ1LWE3YTgtY2JmYjY4MDEzNzg2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt32952069/?ref_=ttep_ep_14,FALSE
14,15,The Right Tough Stuff,"Sun, Sep 15, 2024","When Gayle tells the Belchers about her plans to send an audition tape for Tough Stuff Island, Linda tries to make her tape boring and the kids try to make it more interesting; Bob struggles with his new electric grinder.",7.6,415,"https://m.media-amazon.com/images/M/MV5BZmI5ZGEwODctODkyMS00MGE0LTkxNTEtY2FkOTRjZjM3Njg4XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt32952110/?ref_=ttep_ep_15,FALSE
14,16,To Catch a Beef,"Sun, Sep 22, 2024",Sergeant Bosco goes to Bob to learn how to cook burgers for an undercover mission to oust criminal burger joint owner Vincent Balicki.,7.8,427,"https://m.media-amazon.com/images/M/MV5BZTg0NDFjMDEtOTQxYS00NmEwLWI1NmYtODQ1YmM2OTgzNmNlXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt32952214/?ref_=ttep_ep_16,FALSE
15,1,The Tina Table: The Tables Have Tina-ed,"Sun, Sep 29, 2024",Tina interviews Mr. Frond about his revolutionary computer game in an attempt to save her school news segment; Bob and Linda make up the plots to popular horror movies they haven't seen to entertain Teddy.,7.5,487,"https://m.media-amazon.com/images/M/MV5BZjNlMjg4ZDktNmJhZC00OTVlLWJmMDctMjJmMjAzZGRkMDRkXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt26457876/?ref_=ttep_ep_1,FALSE
15,2,Saving Favorite Drive-In,"Sun, Oct 6, 2024",Bob comes up with a plan to save the local drive-in theater from closing; Linda accidentally insults another mom on a group text chain; Louise and Gene hide from Tina when they steal some of her favorite candy.,8,517,"https://m.media-amazon.com/images/M/MV5BM2E4ZjQ3YmItYjkwOS00OWQ5LThkMjAtZjNjNzUzYWMyOGE2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt33482013/?ref_=ttep_ep_2,FALSE
15,3,Colon-ly the Dronely,"Sun, Oct 20, 2024",Linda drives Teddy to help him pick up Kathleen from her colonoscopy after he hurts himself; the Belcher kids plan to prank a drone that's set to film the school from above.,7.7,479,"https://m.media-amazon.com/images/M/MV5BOWU2NTY2YzYtNDViMS00NjY1LWEzYTYtMjViYjkxMzY4ODI3XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt33621285/?ref_=ttep_ep_3,FALSE
15,4,For Whom the Doll Toes,"Sun, Oct 27, 2024",Louise stages a murder mystery in a creepy old dollhouse store for reasons she can't explain.,8,542,"https://m.media-amazon.com/images/M/MV5BODYwNjEzMjYtYmU4Zi00YTY1LTkyZWEtMTJlMzhmNjFhNjcxXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt33848067/?ref_=ttep_ep_4,FALSE
15,5,Don't Stop Be-Cheesin,"Sun, Nov 3, 2024",Louise trains Tina to be the last student standing in a cheese throwing fight against the other eighth graders; Bob and Teddy teach Linda how to eavesdrop on customers' conversations without getting caught.,7.7,466,"https://m.media-amazon.com/images/M/MV5BMTEyNDY4YjMtZWYyNi00MThlLThkNmEtYmY0NDA1ZGJkZGZmXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt34207632/?ref_=ttep_ep_5,FALSE
15,6,Hope N' Mic Night,"Sun, Nov 10, 2024","The kids want to host an open mic night at the restaurant, but the hidden costs keep mounting and Bob worries it'll ruin them.",8.3,628,"https://m.media-amazon.com/images/M/MV5BOTM0YTExMjAtZTgwZS00YTRlLWIzNDQtZjc2NWFkMzgyYTQwXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt34357665/?ref_=ttep_ep_6,FALSE
15,7,Boogie Days,"Sun, Nov 24, 2024",Bob's past comes back to haunt him when Louise signs up for a father-daughter boogie board contest.,7.4,422,"https://m.media-amazon.com/images/M/MV5BM2VhZGQ0MTYtNTZhZi00OWEzLTkxNWQtMGY3MjA3OTI1Y2NhXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,500,281_.jpg",https://www.imdb.com/title/tt34512189/?ref_=ttep_ep_7,FALSE
