file_name,drive_id,volume,issue
Heavy Metal v04 12 (1981-03) (glitch-DCP).cbr,1jDxRKhHGLksCfMso-lgzGcr-HyAGtnYX,4,12
Heavy Metal v05 01 (1981-04) (c2c) (Lazarus-DCP).cbz,13-rQrCO6x_6kPBBhsNqBtIZl0Bt6iJVa,5,1
Heavy Metal v05 02 (1981-05).cbr,1JYeTGH7tAFpm_aVUsiPE6LIYuMxMimop,5,2
Heavy Metal v05 03 (1981-06) (c2c) (Lazarus-DCP).cbz,1TcdftkRCmO0ZKxL2_ndz50VArPrv8txC,5,3
Heavy Metal v05 04 (1981-07) (c2c) (Bluenagascan) (FIXED).cbr,1BzaSnNuiwVRWk7fyUk71yxfXDGdTxFLv,5,4
Heavy Metal v05 05 (1981-08).cbr,1kz4EtSVlkYQtrApBf5UQFrRN4wjlby71,5,5
Heavy Metal v05 06 (1981-09).cbr,1fGJM19WsXZv_u2cVnEY7BO8bgVN7_fiS,5,6
Heavy Metal v05 07 (1981-10).cbr,14WVmPwW8AvRaK0noZZ19MPecDU5OLXeR,5,7
Heavy Metal v05 08 (1981-11) (FPScans) (rescan).cbr,15aKL3Pc0LvdoLeZRaTN1dSR-S8vLoI4a,5,8
Heavy Metal v05 09 (1981-12).cbr,1EGlguAcJyzJt2tMci92mJCL4WAQBy6it,5,9
Heavy Metal v05 10 (1982-01) (Jnx-HaCsA).cbz,1N8kaZnLYRulge3jF8A0CHJvTGD13m1zc,5,10
Heavy Metal v05 11 (1982-02) (Jnx-HaCsA).cbr,1Xd5C7TB-KF2YxAgwwdX5FMDwwGESbhWt,5,11
Heavy Metal v05 12 (1982-03) (Jnx-HaCsA).cbr,1lZkDQi2HREaiivuL7-MD_ljEHAIoa7l8,5,12
Heavy Metal v06 01 (1982-04) (Jnx-HaCsA).cbr,1WAoiJar9vvBfFlgM11tGgDMdYFT2XOPI,6,1
Heavy Metal v06 02 (1982-05) (Jnx-HaCsA).cbr,1Usttx8kLLfYvSC3UrK-StUoSsb9LhFRK,6,2
Heavy Metal v06 03 (1982-06) (Jnx-HaCsA).cbr,1W8khAxgutpe13wUdJ4YUBSJVGcuxiaWT,6,3
Heavy Metal v06 04 (1982-07) (Jnx-HaCsA).cbr,1BGcSeAnA46O62RhNa4d1w3Q_o3it1uZv,6,4
Heavy Metal v06 05 (1982-08) (Jnx-HaCsA).cbr,1Rg6REfZLS8lfpUkf_TxRS_CbY67GsAB8,6,5
Heavy Metal v06 06 (1982-09) (Jnx-HaCsA).cbr,1y_vhRgj5F1IgR_GajfjIcd6kVmTSuIcY,6,6
Heavy Metal v06 07 (1982-10) (Jnx-HaCsA).cbr,1QgBpUZ1kfvUTc6LjyHtNL5rw1BNnUTvc,6,7
Heavy Metal v06 08 (1982-11) (Jnx-HaCsA).cbr,1YlSHRdBNgejOP4sTNYrQigpsGnVckF7b,6,8
Heavy Metal v06 09 (1982-12) (Jnx-HaCsA).cbr,101xoJe34Xz8_MneBkcDouqP6FEeLC0K9,6,9
Heavy Metal v06 10 (1983-01) (Jnx-HaCsA).cbr,1SS3icUO9PRfnVDTodyUf00TELFuvog7Q,6,10
Heavy Metal v06 11 (1983-02) (Jnx-HaCsA).cbr,1ZdIb7g2g1RBtgooy-1jWKvd77_26KQKo,6,11
Heavy Metal v06 12 (1983-03) (Jnx-HaCsA).cbr,1_5WpMBf1d1cxhdp_9ZAfsdB0kOKSgTm2,6,12
Heavy Metal v07 01 (1983-04) (Jnx-HaCsA).cbr,1hS_9ro847PxvtC2Ic7sEZGJxEFnOTmjj,7,1
Heavy Metal v07 02 (1983-05) (Jnx-HaCsA).cbr,1RaoPSlOHdG3Bn7ERhOA53QU0NvHlY4Ha,7,2
Heavy Metal v07 03 (1983-06) (Jnx-HaCsA).cbr,18Gj8kJ0zopo5QZGR8ml7fdj8TL1a8WaH,7,3
Heavy Metal v07 04 (1983-07) (Jnx-HaCsA).cbr,1QWtEER1taN31J3B7GYNLYdhcJ_j6r2S4,7,4
Heavy Metal v07 05 (1983-08) (Jnx-HaCsA).cbr,1LFiyjnGSOAdiQ08NemM73Nhw0A-gU9Kv,7,5
Heavy Metal v07 06 (1983-09) (Jnx-HaCsA).cbr,1wLG7bzu80FYd8KUSjM-TMOn62zQN9Zr8,7,6
Heavy Metal v07 07 (1983-10) (Jnx-HaCsA).cbr,12qNdi3ia6o_dMgdNMoaeKv-yNvlfXuxA,7,7
Heavy Metal v07 08 (1983-11) (Lazarus-DCP).cbz,1owS-8yzYqdIRiL3_uIfTwfFJAwaSY98B,7,8
Heavy Metal v07 09 (1983-12) (Lazarus-DCP).cbz,1ae8M1g8WANZ0793zEuaY3l6Aqoa66RPQ,7,9
Heavy Metal v07 10 (1984-01) (c2c) (Lazarus-DCP).cbz,1gV2VHsUmwuYYdP1io07OuMm64_jxxonp,7,10
Heavy Metal v07 11 (1984-02) (c2c) (Lazarus-DCP).cbz,12Qfyz2RRsNBP8N7aLDORKcYSwCLsBGvb,7,11
Heavy Metal v07 12 (1984-03) (c2c) (Lazarus-DCP).cbz,1v-4NmtuTY2WHuON6i0RcndYxlh_x_Zvk,7,12
Heavy Metal v08 01 (1984-04).cbr,1l95n7kRi10dfkJ6uU_VG3YLKvZ2_eOLL,8,1
Heavy Metal v08 02 (1984-05) (c2c) (Lazarus-DCP).cbz,1p-asiddfPiCnkQNl5S29wgdqiHHLNkza,8,2
Heavy Metal v08 03 (1984-06) (c2c) (Lazarus-DCP).cbz,1Jms3tT92wOv6In_yE8KrLq6ELyDWJPcY,8,3
Heavy Metal v08 04 (1984-07) (c2c) (Lazarus-DCP).cbz,1emPK2dPEdATsPcnH-9ZX7kdWWetO1xAs,8,4
Heavy Metal v08 05 (1984-08) (c2c) (Lazarus-DCP).cbz,1SLSMaDiDtZZKpzB7eNCPQkwKDlCUVsyz,8,5
Heavy Metal v08 06 (1984-09) (c2c) (Lazarus-DCP).cbz,13HzYMzy0ghGKduNLHX29wRtSAMJ7RQPl,8,6
Heavy Metal v08 07 (1984-10) (c2c) (Lazarus-DCP).cbz,1L9KOwVqjHkNFDqJ07wlDLaFVde_tBRTO,8,7
Heavy Metal v08 08 (1984-11) (c2c) (Lazarus-DCP).cbz,11bPNQeByNOlvPonyMR_WkrcwHx69yhbu,8,8
Heavy Metal v08 09 (1984-12) (c2c) (Lazarus-DCP).cbz,15pXJxMNhgB_rpriJBgM_NcPGlrpxyK0Z,8,9
Heavy Metal v08 10 (1985-01) (c2c) (Lazarus-DCP).cbz,1ZdQ6gtcOtUD-VPV3UJmQa-kUt-7JVfYH,8,10
Heavy Metal v08 11 (1985-02).cbz,12yX5YsEotJsEmJ6J5QbsTwr8gUyz8if4,8,11
Heavy Metal v08 12 (1985-03).cbz,1c7j_25enfjseqE7G_jwcGpOCR-fUOCHb,8,12
Heavy Metal v09 01 (1985-04) (c2c) (Lazarus-DCP) (mislabel v09 13).cbz,16tObMcti-yKezf0LcYI7EA4n0ksup9Wx,9,1
Heavy Metal v09 02 (1985-05) (c2c) (Lazarus-DCP).cbz,1WhYXhHvyWPuk-r8dIGSPoczRjybWiYHp,9,2
Heavy Metal v09 03 (1985-06) (c2c) (Lazarus-DCP).cbz,16tHcbx1f4LARj5F6Ntcf--LtBkpfuCzW,9,3
Heavy Metal v09 04 (1985-07) (c2c) (Lazarus-DCP).cbz,190D1AjCU5Asjwkx-3ruUJR78jv23eYkC,9,4
Heavy Metal v09 05 (1985-08) (c2c) (Lazarus-DCP).cbz,1o0RWXPKymYjYnq_zeeMds6d3Q9KGgSik,9,5
Heavy Metal v09 06 (1985-09) (c2c) (Lazarus-DCP).cbz,15X0hYhnnY3fW7mrbiL9l1PLxmG9KUV3D,9,6
Heavy Metal v09 07 (1985-10) (c2c) (Icarus-DCP).cbr,1kYFGC2lrMExElF4xJte7UFzDKxi4xLdG,9,7
Heavy Metal v09 08 (1985-11) (c2c) (Lazarus-DCP).cbz,19fCVC-ApEN-D3qmV83HzP8L-bZh3WwXh,9,8
Heavy Metal v09 09 (1985-12) (c2c) (Lazarus-DCP).cbz,1dG3iBEtltnPWp6vXKvYOhaym8L2jJTNh,9,9
Heavy Metal v09 10 (1986-Winter) (brigus).cbr,1lhPtIk_oHfPD85QcZJY6GGb5HuCAZqu3,9,10
Heavy Metal v10 01 (1986-Spring) (brigus).cbr,10WvZiFrEfQzirEHk73S73cShYY83WBAI,10,1
Heavy Metal v10 02 (1986-Summer) (Humperdido).cbr,1gxSDkbD5h6PWSKPM2o5kyQXy2oO3iHZE,10,2
Heavy Metal v10 03 (1986) (c2c) (Lazarus-DCP).cbz,1cCbR4ErGvlw-vSZmUqldo_2iCJx-f_05,10,3
Heavy Metal v10 04 (1987) (c2c) (Fixed) (CalexicoCA).cbr,15xtiJGR-AeyXUNF2DLmY5OY8XR2uDAZd,10,4
Heavy Metal v11 01 (1987) (Calexicoca).cbr,1uoNBkzxWMRVB01MngSieOsrbOoQYkfUk,11,1
Heavy Metal v11 02 (1987).cbz,1mudXDQBfHt1O2rPP9jZ-Qi8rnNlk3yWu,11,2
Heavy Metal v11 03 (1987) (c2c) (fixed) (CalexicoCA).cbr,1DCdsUv2qpee6EC4vz0V21WPrasH6xFjm,11,3
Heavy Metal v11 04 (1988).cbr,1_0V9ADmtglr7bFkgMMeHbt6nZVip9TBo,11,4
Heavy Metal v12 01 (1988).cbz,1VLc9CREppQvoFoFqqZCFr69J6mkHQaWl,12,1
Heavy Metal v12 02 (1988).cbz,1ddpVepIA1JBOWEh4xmOO3vjm7LBa6y69,12,2
